GlytouCan_id,PubChem_id,UniCarb_id,Tax_id
G73907HE,CID71297724|SID252293054,2869,9606
G01613KN,CID71298005|SID252279598,3153,9606|10029|10036
G96538JO,CID91860909|SID252294812,-,10114|9606|9615|9823
G68801RI,CID91850220|SID252282022,-,9606
G82038RE,CID71298020|SID252289875,3439,11176|40674|11309|12721|4922|6973|10036|10090|10114|11795|5062|9823|9606|9913
G70194YY,CID91858043|SID252291364,-,9606
G04448SF,CID91851517|SID252283559,-,9606
G87264NH,CID91846239|SID252277274,-,9606
G89008DB,CID91852725|SID252285011,-,9606
G41052GC,CID70698375|SID252288909,-,9606
G08046LM,CID91853076|SID252285422,-,10114|9606|9823
G42504VW,CID91862465|SID252296678,-,9606
G59419HU,-,-,9606
G75236EF,CID91850652|SID252282536,-,10026|10029|10090|10114|11676|11820|12721|9606|9823|186537|11783|9666
G81873QA,CID91848845|SID252280414,-,9606
G35528EA,CID91845829|SID252276788,-,9606
G90334GI,-,-,9606
G69303AY,-,-,9913|9606|10090
G15571KX,CID91854210|SID252286768,-,9606
G65667PE,CID91850123|SID252281898,-,9606
G21293AK,CID91852256|SID252284448,-,9606
G56408DR,-,-,9606
G24274LP,-,-,9606
G44858WT,-,-,9913|9606|562
G86018QV,CID91860156|SID252293888,-,9606
G02297WO,-,-,9606
G45957UA,-,-,9606|9796
G75200TT,-,-,10029|9606|9913
G36058QA,-,-,9606
G84170WO,CID91856303|SID252289289,-,11320|10114|11309|3885|4932|10090|5691|8976|9606|9823|9913|7227
G58429RC,-,-,9606|10141
G01187XC,CID11813424|SID252292047,7124,9606|10114
G76154QC,CID91850173|SID252281960,-,9606
G49120XR,-,-,9606
G23893ZL,-,-,9606
G89364NG,CID71297814|SID252282690,2539,9606
G22949KX,CID91859984|SID252293677,-,9606
G86199GK,CID71298221|SID252288313,99,10116|10029|9606|9796|9986
G61169KO,CID91860128|SID252293852,-,9606
G29159YJ,CID91847747|SID252279108,-,9606
G86490WA,-,-,9534|9606
G54802EG,-,-,9606
G70507DZ,CID91855656|SID252288517,-,9606
G17029BL,CID91848323|SID252279792,-,9606
G59655FF,CID91856624|SID252289681,-,9606
G93899AU,-,-,9606
G69957XS,-,-,9606
G80719YH,CID91862065|SID252296185,-,9913|9606
G14127XU,CID91854175|SID252286724,-,9606
G12980HQ,-,-,9606
G22665UT,CID91854905|SID252287621,-,9606
G08646YJ,-,-,10141|9606
G80951VR,CID91861224|SID252295183,-,9606
G83433HW,CID91856406|SID252289419,-,11676|9796|9606|12721|10114|186537
G03003KR,CID91860336|SID252294110,-,9606
G84448IT,CID91853389|SID252285800,-,9606|9823|9913|10114
G85284LO,CID71298491|SID252282249,327,9606
G00432WV,CID71297859|SID252292095,4339,10114|9606
G03168RN,CID91852867|SID252285174,-,9606
G10236SD,CID91845770|SID252276722,-,9606
G65475CX,CID91861139|SID252295084,-,9606
G55041IW,CID91845286|SID252276155,-,9606|9913
G99309EE,CID91851399|SID252283419,-,9606
G24563OC,-,-,9606
G95984JN,CID91854946|SID252287669,-,9606
G35708JV,CID91857693|SID252290947,-,9606
G63679SF,-,3565,9606
G68415EV,CID91852365|SID252284582,-,9606|10090
G76583MP,-,-,9606|7787|9031
G36498HE,CID91847236|SID252278478,-,9606
G73930OK,-,-,9606|10029
G42556BP,CID91848917|SID252280496,-,9606
G30853JB,-,-,9606
G49935CA,CID91849031|SID252280620,-,10029|11276|9913|9606
G91599FN,CID71297546|SID252289846,3421,9606
G62112AO,CID70789017|SID252284436,1101,32644|9606
G01347XI,-,-,9940|9606
G82221BU,CID91857028|SID252290157,-,9606
G63754TT,CID91846775|SID252277917,-,9606
G95437AC,-,-,9606
G75599HG,CID71298267|SID252281759,169,9606|9913
G73991ZU,CID71298107|SID252283201,143|7311,10116|9606
G90790SM,CID91847092|SID252278301,-,9606
G55601IV,CID53262308|SID252292666,-,9606
G21541CK,SID252292436|CID91849543,-,9606
G46473CN,-,-,9606|9823
G01310VF,CID91855308|SID252288097,-,9606
G41850YN,CID91856797|SID252289882,-,9606
G61831UB,-,-,9606
G56653RI,CID71297456|SID252276845,6597,10090|9606
G09909FT,CID91855138|SID252287897,-,9606
G17465GV,-,-,9606
G26144DH,-,-,9606|9913
G93686CT,CID71297504|SID252278446,4077,9606
G95639RD,CID91845761|SID252276712,-,9606
G63992GH,CID91861190|SID252295143,-,9606
G83106XM,CID91846697|SID252277832,-,9606
G29014XV,CID70678969|SID252289183,618,9606
G18740DM,CID91850470|SID252282314,-,9606
G53750GJ,-,-,9606
G56682BC,CID56927753|SID252296526,-,9823|32630|9606|9615|10029|10090
G05108UT,CID71297363|SID252290257,1049,3649|32644|3704|42806|7091|9031|9091|9606|9685|9823|9913|9925|9940|4922|5908|4615|55057|6908|10114|7460|7108|8839
G78342SP,CID71297446|SID252287222,3099,9606|9796|9823|98334
G90333CG,CID70698368|SID252289332,-,9606
G04099VY,CID91846951|SID252278126,-,9606
G18252JT,-,-,9606
G46609ZR,CID71298253|SID252290438,162,9606
G68668TB,CID91857633|SID252290877,-,3803|3885|9606|9823|9913|10141|11795|5052
G64485VT,CID71298485|SID252293039,326,9606
G63100CN,CID91848333|SID252279806,-,9606
G01028CW,-,-,10029|9606|9913
G85953MG,CID91849896|SID252281634,-,9606
G29489PN,CID71298219|SID252284251,423,9606
G81220GC,-,-,9257|9258|9606|189497
G78519ZX,CID91847512|SID252278812,-,9606
G59659CN,CID71298313|SID252296181,53,9606
G33522ME,CID91862316|SID252296498,-,9606
G03764XL,CID91852337|SID252284548,-,9606|10116|9986
G29539MT,-,-,9606
G96439CH,CID91854655|SID252287309,-,9606
G63949RX,-,-,9606
G79954CG,CID91859632|SID252293262,-,9606
G35429JB,CID91848581|SID252280103,-,9606
G13585VS,-,-,9606
G89261EQ,CID71297972|SID252284080,1537,9606
G96823NW,-,-,9606
G45120SG,CID91848496|SID252279999,-,9606|9913
G78153TS,CID91860500|SID252294314,-,5691|9606
G07703ST,CID91861273|SID252295238,-,9913|9606
G51699IR,-,-,10090|9606
G63069TR,CID5289369|SID252277643,-,9606|9823|10114
G30070XN,-,-,9606
G04649ES,-,-,9606
G45827GY,CID440993|SID252281124,6331,9606|9913
G62380XZ,CID91849978|SID252281730,-,9606
G94827SR,CID91860520|SID252294339,-,9606
G91144VS,CID91850638|SID252282519,-,9606
G98327TQ,CID71298517|SID252282214,690,9606
G95491GH,CID91856992|SID252290110,-,9606
G46772BG,CID71298144|SID252288213,478,9606
G89481IZ,-,-,9606|10141
G37491LV,CID91862325|SID252296508,-,9606
G22117HL,CID91862228|SID252296388,-,9606
G59311AO,-,-,55057|5715|5061|5043|3816|3885|9606|9615|28005|4932|5665|5693|5674|78083|4220|4530|7787|9823|9913|3988|10029|10090|83891|7108|7091
G01789AQ,CID91853663|SID252286110,-,9606
G61367OF,CID91856690|SID252289757,-,9606
G38658JL,CID71297837|SID252278472,1269,9606
G31993QW,CID71297784|SID252290099,2555,9606|9913
G70192AL,CID91845618|SID252276538,-,9606
G99373GG,-,-,9606
G57777LQ,CID91846685|SID252289283,-,9606
G17207FU,CID71298003|SID252293683,7084,9606
G93802CF,CID91847926|SID252279314,-,9606
G60955ML,-,-,9606|10116
G34992DF,-,-,10114|10141|9823|10046|10047|10090|9544|9031|9913|9940|9986|9606|9615|9721|7778
G83945CT,-,-,10114|9913|9986|9606
G58047AI,-,-,9606
