GlyTouCan Id,GlycoDB ID,GlycO,IUPAC,
G00049MO,126,GOG983,beta-L-Galp-(1->3)-beta-L-GlcpNAc-(1->3)-beta-L-Galp-(1->4)-beta-L-Glcp(1->,
G00050ID,26167,,-,
G00050MO,545,GOG1063,alpha-D-Fucp-(1->2)-beta-L-Galp-(1->3)-beta-L-GlcpNAc-(1->3)-beta-L-Galp-(1->4)-beta-L-Glcp(1->,
G00050XR,40952,,-,
G00051MO,48,,-,
G00052MO,314,,[alpha-D-Fucp-(1->2)-beta-L-Galp-(1->4)-alpha-D-Fucp-(1->3)-beta-L-GlcpNAc(1-]-,
G00053MO,130,,[alpha-D-Fucp-(1->4)-D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->3)-beta-D-GlcpNAc(1-]-,
G00054MO,129,,[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->4)-alpha-D-Fucp-(1->3)-beta-D-GlcpNAc(1-]-,
G00055MO,228,,beta-L-Galp-(1->4)-beta-L-GlcpNAc(1->,
G00056HH,39511,,-,
G00056MO,307,,beta-L-Galp-(1->3)-beta-D-GlcpNAc(1->,
G00056UI,16804,,-,
G00057MO,8321,,beta-L-GalpNAc-(1->4)-beta-L-GlcpNAc(1->,
G00058MO,2364,,-,
G00059MO,120,,alpha-L-Galp-(1->4)-beta-L-Galp-(1->4)-beta-L-Glcp(1->,
G00060BT,10134,,-,
G00061MO,588,,beta-L-GalpNAc-(1->3)-alpha-L-Galp-(1->4)-beta-L-Galp-(1->4)-beta-L-Glcp(1->,
G00062HV,12623,,-,
G00063MO,4701,,[D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->6)-[beta-L-GalpNAc-(1->4)-D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->3)]-beta-L-GalpNAc(1-]-,
G00064AV,25283,,-,
G00065MO,231,,D-gro-alpha-L-3-deoxy-galNon2ulop5NAc-onic-(2->3)-beta-L-Galp-(1->4)-beta-L-GlcpNAc(1->,
G00066CT,26507,,-,
G00066MO,313,,[alpha-L-GalpNAc-(1->3)-alpha-D-Fucp-(1->2)-beta-L-Galp(1-]-,
G00066RE,35232,,-,
G00068MO,306,,alpha-D-Fucp-(1->2)-beta-L-Galp(1->,
G00068PW,26632,,-,
G00068TA,34557,,-,
G00069DT,28526,,-,
G00069MO,965,,-,
G00070MO,966,,-,
G00071MO,1222,,-,
G00076PK,3004,,alpha-L-Galp-(1->4)-beta-L-Galp-(1->4)-beta-L-GlcpNAc(1->,
G00079FZ,4385,,-,
G00087BT,35467,,-,
G00087ZB,30013,,-,
G00089VH,7734,,-,
G00090SL,1654,,-,
G00091RT,1216,,-,
G00092LH,39165,,-,
G00094WA,33708,,-,
G00100EG,37303,,-,
G00100QF,7084,,-,
G00101DG,5707,,-,
G00104PH,29562,,-,
G00108FS,33394,,-,
G00108ZJ,20408,,-,
G00109NL,26350,,-,
G00112DD,33785,,-,
G00112DD,28238,,-,
G00112IO,11415,,[beta-L-Galp-(1->4)-beta-D-GlcpNAc-(1->6)-alpha-L-GalpNAc-(1->3)-beta-L-Galp-(1->3)-beta-D-GlcpNAc-(1->3)-beta-L-Galp-(1->4)]-beta-D-GlcpNAc-(1->3)-L-GalNAc(?->,
G00116DX,29221,,-,
G00116ZU,5138,,-,
G00117WU,25384,,-,
G00120QS,22908,,-,
G00121QU,30558,,-,
G00122SS,38448,,-,
G00123IP,12421,,-,
G00123JF,9680,,-,
G00123VT,20438,,-,
G00128WV,27818,,-,
G00133EM,4758,,-,
G00133ST,19175,,-,
G00134YK,19465,,-,
G00140XB,19536,,-,
G00140YZ,35873,,-,
G00141ZD,7043,,-,
G00142DY,8787,,-,
G00147XT,38493,,-,
G00149XH,3899,,-,
G00152LK,14761,,-,
G00153LJ,287,,-,
G00155DW,28405,,-,
G00155DW,34257,,-,
G00158II,26709,,-,
G00167VE,36071,,-,
G00171RJ,32945,,-,
G00173GD,2731,,-,
G00175GT,17933,,-,
G00176HZ,3768,GOG58,-,
G00177BS,26392,,-,
G00180JU,18554,,-,
G00181BE,20277,,-,
G00183RF,25846,,-,
G00186QQ,19131,,-,
G00194ZL,23281,,-,
G00199JR,33155,,-,
